stem,cat,solid_fraction
IT_026,ITs,0.6027990856022274
IT_027,ITs,0.5596285996644527
IT_028,ITs,0.3946461389949444
IT_029,ITs,0.43007678755443274
IT_030,ITs,0.49192627695413743
IT_031,ITs,0.4233275460662046
IT_032,ITs,0.36349948232050805
IT_033,ITs,0.4050632911392405
IT_034,ITs,0.43893468095961186
IT_035,ITs,0.514996666705283
IT_036,ITs,0.5289220903958931
IT_037,ITs,0.4973590080706754
IT_038,ITs,0.5016021492778067
IT_039,ITs,0.7429173495668462
IT_040,ITs,0.5963192513731607
IT_041,ITs,0.44222169922334664
IT_042,ITs,0.7290990573327152
IT_043,ITs,0.42404452038604146
IT_044,ITs,0.33307951968410776
IT_045,ITs,0.3239246097203128
IT_046,ITs,0.4621853500202449
IT_047,ITs,0.39226271645527055
IT_048,ITs,0.23922855970455478
IT_049,ITs,0.25637884839613984
IT_050,ITs,0.29715754854299237
IT_051,ITs,0.40801354401805867
IT_052,ITs,0.6771948608137045
IT_053,ITs,0.71358134041925
IT_054,ITs,0.2136505460218409
IT_055,ITs,0.6173737233416465
IT_056,ITs,0.5006854990433035
IT_057,ITs,0.7382724689315858
IT_058,ITs,0.5092109374914935
IT_059,ITs,0.11497748773456944
IT_060,ITs,0.28520273968722376
IT_061,ITs,0.9561637033256548
IT_062,ITs,0.3905597198328828
IT_063,ITs,0.5966605212881889
IT_064,ITs,0.6035849460829822
IT_065,ITs,0.6735429286665139
IT_066,ITs,0.5464791477198908
IT_067,ITs,0.6436012282633989
IT_068,ITs,0.4036133929457878
IT_069,ITs,0.814708695633356
IT_070,ITs,0.8807050897539229
IT_071,ITs,0.5785421648959109
IT_072,ITs,0.4543933612960459
IT_073,ITs,0.5772138908938609
IT_074,ITs,0.373850206439199
IT_075,ITs,0.9650248400066742
IT_076,ITs,0.6110333362498906
IT_077,ITs,0.5648549596378183
IT_078,ITs,0.4266679395058691
IT_079,ITs,0.5716701252786104
IT_080,ITs,0.6002913909786864
IT_081,ITs,0.37884537794488266
IT_082,ITs,0.6338579081943261
IT_083,ITs,0.7069454992989618
IT_084,ITs,0.5847390266380316
