stem,cat,dice,hd95
MT_307,MTs,0.8768838075286114,4.969081239242144
MT_313,MTs,0.009672761524249184,339.6177974348914
MT_314,MTs,0.9292013890922294,2.332147424047534
MT_333,MTs,0.746007981781696,14.444055741774019
MT_335,MTs,0.9264535912253804,1.6015640497207642
MT_341,MTs,0.7437468463922727,10.264842036352528
MT_345,MTs,0.020720276270350273,18.76941633436163
MT_353,MTs,0.8291568561497926,17.326550015157032
MT_356,MTs,0.6770662873863816,10.129564361331607
MT_359,MTs,0.9365504425215367,0.6875
MT_362,MTs,0.9043315852380601,5.0
MT_383,MTs,0.6568551121380315,12.608023170414686
MT_386,MTs,0.7706837929731771,180.65966832702574
MT_387,MTs,0.9380329177638398,1.519375594534026
MT_389,MTs,0.08808617897087434,270.22335875509106
MT_395,MTs,0.9628065456811942,0.0
MT_397,MTs,0.24837978818694345,187.84699188981332
MT_398,MTs,0.8209030948756976,135.53162784888767
MT_407,MTs,0.0014070094653364032,193.50226850929528
